"date","Item","Element","Value"
2010-08-10,"BRITISH POUND STERLING - CME","Speculators net position (% of OI)",4.7
2010-08-10,"CANADIAN DOLLAR - CME","Speculators net position (% of OI)",63.3
2010-08-10,"DJIA Consolidated - CBoT","Speculators net position (% of OI)",-7.6
2010-08-10,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Speculators net position (% of OI)",-7.6
2010-08-10,"E-MINI S&P 400 STOCK INDEX - CME","Speculators net position (% of OI)",14.7
2010-08-10,"E-MINI S&P 500 STOCK INDEX - CME","Speculators net position (% of OI)",14.1
2010-08-10,"EURO FX - CME","Speculators net position (% of OI)",-6.2
2010-08-10,"JAPANESE YEN - CME","Speculators net position (% of OI)",57.4
2010-08-10,"MEXICAN PESO - CME","Speculators net position (% of OI)",76.3
2010-08-10,"NASDAQ-100 Consolidated - CME","Speculators net position (% of OI)",0.300000000000002
2010-08-10,"NASDAQ-100 STOCK INDEX (MINI) - CME","Speculators net position (% of OI)",-4.9
2010-08-10,"NEW ZEALAND DOLLAR - CME","Speculators net position (% of OI)",53.4
2010-08-10,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Speculators net position (% of OI)",-34.3
2010-08-10,"S&P 500 Consolidated - CME","Speculators net position (% of OI)",19.9
2010-08-10,"SWISS FRANC - CME","Speculators net position (% of OI)",34.4
2010-08-10,"U.S. DOLLAR INDEX - ICE","Speculators net position (% of OI)",19.9
2010-08-10,"U.S. TREASURY BONDS - CBoT","Speculators net position (% of OI)",20.2
2010-08-10,"VIX FUTURES - CBOE","Speculators net position (% of OI)",-34.8
2010-08-17,"10-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-12.6
2010-08-17,"2-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-4.2
2010-08-17,"3-MONTH EURODOLLARS - CME","Smart money net position (% of OI)",-17
2010-08-17,"30-DAY FEDERAL FUNDS - CBoT","Smart money net position (% of OI)",-21.4
2010-08-17,"5-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-10.3
2010-08-17,"AUSTRALIAN DOLLAR - CME","Smart money net position (% of OI)",-61
2010-08-17,"BRITISH POUND STERLING - CME","Smart money net position (% of OI)",-4.90000000000001
2010-08-17,"CANADIAN DOLLAR - CME","Smart money net position (% of OI)",-57.7
2010-08-17,"DJIA Consolidated - CBoT","Smart money net position (% of OI)",-0.300000000000004
2010-08-17,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Smart money net position (% of OI)",-0.300000000000004
2010-08-17,"E-MINI S&P 400 STOCK INDEX - CME","Smart money net position (% of OI)",-8.9
2010-08-17,"E-MINI S&P 500 STOCK INDEX - CME","Smart money net position (% of OI)",-11.5
2010-08-17,"EURO FX - CME","Smart money net position (% of OI)",9.3
2010-08-17,"JAPANESE YEN - CME","Smart money net position (% of OI)",-56.8
2010-08-17,"MEXICAN PESO - CME","Smart money net position (% of OI)",-75.8
2010-08-17,"NASDAQ-100 Consolidated - CME","Smart money net position (% of OI)",7.7
2010-08-17,"NASDAQ-100 STOCK INDEX (MINI) - CME","Smart money net position (% of OI)",16.8
2010-08-17,"NEW ZEALAND DOLLAR - CME","Smart money net position (% of OI)",-47.9
2010-08-17,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Smart money net position (% of OI)",24
2010-08-17,"S&P 500 Consolidated - CME","Smart money net position (% of OI)",-16.5
2010-08-17,"SWISS FRANC - CME","Smart money net position (% of OI)",-38.2
2010-08-17,"U.S. DOLLAR INDEX - ICE","Smart money net position (% of OI)",-18
2010-08-17,"U.S. TREASURY BONDS - CBoT","Smart money net position (% of OI)",-21.3
2010-08-17,"VIX FUTURES - CBOE","Smart money net position (% of OI)",37.5
2010-08-17,"10-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",12.6
2010-08-17,"2-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",4.2
2010-08-17,"3-MONTH EURODOLLARS - CME","Speculators net position (% of OI)",17
2010-08-17,"30-DAY FEDERAL FUNDS - CBoT","Speculators net position (% of OI)",21.5
2010-08-17,"5-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",10.4
2010-08-17,"AUSTRALIAN DOLLAR - CME","Speculators net position (% of OI)",60.9
2010-08-17,"BRITISH POUND STERLING - CME","Speculators net position (% of OI)",4.8
2010-08-17,"CANADIAN DOLLAR - CME","Speculators net position (% of OI)",57.7
2010-08-17,"DJIA Consolidated - CBoT","Speculators net position (% of OI)",0.299999999999999
2010-08-17,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Speculators net position (% of OI)",0.299999999999999
2010-08-17,"E-MINI S&P 400 STOCK INDEX - CME","Speculators net position (% of OI)",8.8
2010-08-17,"E-MINI S&P 500 STOCK INDEX - CME","Speculators net position (% of OI)",11.3
2010-08-17,"EURO FX - CME","Speculators net position (% of OI)",-9.2
2010-08-17,"JAPANESE YEN - CME","Speculators net position (% of OI)",56.8
2010-08-17,"MEXICAN PESO - CME","Speculators net position (% of OI)",75.8
2010-08-17,"NASDAQ-100 Consolidated - CME","Speculators net position (% of OI)",-7.80000000000001
2010-08-17,"NASDAQ-100 STOCK INDEX (MINI) - CME","Speculators net position (% of OI)",-16.8
2010-08-17,"NEW ZEALAND DOLLAR - CME","Speculators net position (% of OI)",48.1
2010-08-17,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Speculators net position (% of OI)",-24.1
2010-08-17,"S&P 500 Consolidated - CME","Speculators net position (% of OI)",16.4
2010-08-17,"SWISS FRANC - CME","Speculators net position (% of OI)",38.1
2010-08-17,"U.S. DOLLAR INDEX - ICE","Speculators net position (% of OI)",18.1
2010-08-17,"U.S. TREASURY BONDS - CBoT","Speculators net position (% of OI)",21.2
2010-08-17,"VIX FUTURES - CBOE","Speculators net position (% of OI)",-37.5
2010-08-24,"10-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-12.3
2010-08-24,"2-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-3
2010-08-24,"3-MONTH EURODOLLARS - CME","Smart money net position (% of OI)",-16.6
2010-08-24,"30-DAY FEDERAL FUNDS - CBoT","Smart money net position (% of OI)",-19.7
2010-08-24,"5-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-7.5
2010-08-24,"AUSTRALIAN DOLLAR - CME","Smart money net position (% of OI)",-55.5
2010-08-24,"BRITISH POUND STERLING - CME","Smart money net position (% of OI)",-2
2010-08-24,"CANADIAN DOLLAR - CME","Smart money net position (% of OI)",-41.3
2010-08-24,"DJIA Consolidated - CBoT","Smart money net position (% of OI)",4.90000000000001
2010-08-24,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Smart money net position (% of OI)",4.90000000000001
2010-08-24,"E-MINI S&P 400 STOCK INDEX - CME","Smart money net position (% of OI)",-1
2010-08-24,"E-MINI S&P 500 STOCK INDEX - CME","Smart money net position (% of OI)",-7.3
2010-08-24,"EURO FX - CME","Smart money net position (% of OI)",15.6
2010-08-24,"JAPANESE YEN - CME","Smart money net position (% of OI)",-54
2010-08-24,"MEXICAN PESO - CME","Smart money net position (% of OI)",-73.4
2010-08-24,"NASDAQ-100 Consolidated - CME","Smart money net position (% of OI)",16.1
2010-08-24,"NASDAQ-100 STOCK INDEX (MINI) - CME","Smart money net position (% of OI)",28.4
2010-08-24,"NEW ZEALAND DOLLAR - CME","Smart money net position (% of OI)",-52.7
2010-08-24,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Smart money net position (% of OI)",22.2
2010-08-24,"S&P 500 Consolidated - CME","Smart money net position (% of OI)",-12.2
2010-08-24,"SWISS FRANC - CME","Smart money net position (% of OI)",-45.1
2010-08-24,"U.S. DOLLAR INDEX - ICE","Smart money net position (% of OI)",-15.3
2010-08-24,"U.S. TREASURY BONDS - CBoT","Smart money net position (% of OI)",-19.1
2010-08-24,"VIX FUTURES - CBOE","Smart money net position (% of OI)",36.1
2010-08-24,"10-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",12.4
2010-08-24,"2-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",2.9
2010-08-24,"3-MONTH EURODOLLARS - CME","Speculators net position (% of OI)",16.5
2010-08-24,"30-DAY FEDERAL FUNDS - CBoT","Speculators net position (% of OI)",19.7
2010-08-24,"5-YEAR U.S. TREASURY NOTES - CBoT","Speculators net position (% of OI)",7.7
2010-08-24,"AUSTRALIAN DOLLAR - CME","Speculators net position (% of OI)",55.6
2010-08-24,"BRITISH POUND STERLING - CME","Speculators net position (% of OI)",2.1
2010-08-24,"CANADIAN DOLLAR - CME","Speculators net position (% of OI)",41.2
2010-08-24,"DJIA Consolidated - CBoT","Speculators net position (% of OI)",-4.9
2010-08-24,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Speculators net position (% of OI)",-4.9
2010-08-24,"E-MINI S&P 400 STOCK INDEX - CME","Speculators net position (% of OI)",1
2010-08-24,"E-MINI S&P 500 STOCK INDEX - CME","Speculators net position (% of OI)",7.4
2010-08-24,"EURO FX - CME","Speculators net position (% of OI)",-15.5
2010-08-24,"JAPANESE YEN - CME","Speculators net position (% of OI)",54
2010-08-24,"MEXICAN PESO - CME","Speculators net position (% of OI)",73.5
2010-08-24,"NASDAQ-100 Consolidated - CME","Speculators net position (% of OI)",-15.9
2010-08-24,"NASDAQ-100 STOCK INDEX (MINI) - CME","Speculators net position (% of OI)",-28.4
2010-08-24,"NEW ZEALAND DOLLAR - CME","Speculators net position (% of OI)",52.6
2010-08-24,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Speculators net position (% of OI)",-22.1
2010-08-24,"S&P 500 Consolidated - CME","Speculators net position (% of OI)",12.2
2010-08-24,"SWISS FRANC - CME","Speculators net position (% of OI)",45.1
2010-08-24,"U.S. DOLLAR INDEX - ICE","Speculators net position (% of OI)",15.2
2010-08-24,"U.S. TREASURY BONDS - CBoT","Speculators net position (% of OI)",19.2
2010-08-24,"VIX FUTURES - CBOE","Speculators net position (% of OI)",-36.1
2010-08-31,"10-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-10.7
2010-08-31,"2-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",0.0999999999999996
2010-08-31,"3-MONTH EURODOLLARS - CME","Smart money net position (% of OI)",-16.1
2010-08-31,"30-DAY FEDERAL FUNDS - CBoT","Smart money net position (% of OI)",-18.3
2010-08-31,"5-YEAR U.S. TREASURY NOTES - CBoT","Smart money net position (% of OI)",-9.3
2010-08-31,"AUSTRALIAN DOLLAR - CME","Smart money net position (% of OI)",-52.2
2010-08-31,"BRITISH POUND STERLING - CME","Smart money net position (% of OI)",5.6
2010-08-31,"CANADIAN DOLLAR - CME","Smart money net position (% of OI)",-14.7
2010-08-31,"DJIA Consolidated - CBoT","Smart money net position (% of OI)",6.6
2010-08-31,"DOW JONES INDUSTRIAL AVG- x $5 - CBoT","Smart money net position (% of OI)",6.6
2010-08-31,"E-MINI S&P 400 STOCK INDEX - CME","Smart money net position (% of OI)",1.2
2010-08-31,"E-MINI S&P 500 STOCK INDEX - CME","Smart money net position (% of OI)",-6.9
2010-08-31,"EURO FX - CME","Smart money net position (% of OI)",17.5
2010-08-31,"JAPANESE YEN - CME","Smart money net position (% of OI)",-51.3
2010-08-31,"MEXICAN PESO - CME","Smart money net position (% of OI)",-50.3
2010-08-31,"NASDAQ-100 Consolidated - CME","Smart money net position (% of OI)",18.9
2010-08-31,"NASDAQ-100 STOCK INDEX (MINI) - CME","Smart money net position (% of OI)",33
2010-08-31,"NEW ZEALAND DOLLAR - CME","Smart money net position (% of OI)",-43.8
2010-08-31,"NIKKEI STOCK AVERAGE YEN DENOM - CME","Smart money net position (% of OI)",20.7
2010-08-31,"S&P 500 Consolidated - CME","Smart money net position (% of OI)",-10.2
2010-08-31,"SWISS FRANC - CME","Smart money net position (% of OI)",-49.9
2010-08-31,"U.S. DOLLAR INDEX - ICE","Smart money net position (% of OI)",-10.3
2010-08-31,"U.S. TREASURY BONDS - CBoT","Smart money net position (% of OI)",-14.4
2010-08-31,"VIX FUTURES - CBOE","Smart money net position (% of OI)",33.1
